"","RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Metabolite","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
"Homoserine/Threonine","1.41653186528818","0.552637242728902","1.5472137930868","1.21493062367202","0.836900218930552","0.914873796617037","0.181424334679824","1.84378774858784","1.38311118028753","-0.455643531331836","0.339934618262257","0.529243468534992","2.0515857735063","-0.466871391354593","-0.2800070004666","-0.633111006177343","-1.27234455993075","-0.332901015522442","-1.0103371744894","0.18235400969494","-0.29984137774315","-0.639486349556303","-0.690082931283203","-1.03188020705107","0.18317433116772","1.06569018875838","-0.0245918407519351","-1.91719062133136","-1.81963004881357","-1.97680467649811","0.264772122326962","-0.528033484813103","-0.299470761333495","-0.430138090156303","-0.833120574573174","-0.333440863461535","0.603008697409921","-0.523104724118804","0.686858217217852"
"Ornithine","2.08627623357352","0.76565592588835","1.74179772901862","2.04384314194002","1.12362096289648","0.524732906153592","1.22933111304406","2.09639604322556","-0.329774539575658","-0.981939039219999","0.378756371001185","0.252163038402659","-0.266850422990333","-0.301281435552872","-1.09240668211792","-1.16263664853418","-0.18242811168324","-0.0838585047424729","-0.367186684592303","0.667171405183684","-0.484356677557705","-0.704800541895836","-0.100947249042488","-0.690627040733711","0.371552673914893","0.048172726614665","-0.998786589479255","-1.41988861376911","-1.32628319503552","-1.4497077202987","0.151966751538241","-0.501104109256836","-1.16769712354507","0.243093224701049","-1.12201197469072","-0.225959939946475","1.36261924442444","-0.652384325785693","0.525767678525123"
"Phenyl alanine","1.90821488318985","0.879845750923278","0.493058208292288","1.45439418124721","0.889941102379258","0.419995622312763","0.477061808278757","2.09918793006507","-0.283533435816058","-0.188632195861179","-0.44319785186469","0.519297869962358","0.787855650361381","-0.794102915426954","-1.24193677526539","-1.2754633214527","-1.30825914311433","-0.200891905138604","-1.50900787566851","-0.0735339946366556","-0.297566429271896","0.0580932898688973","0.153628107137072","1.49880247928531","1.03767609677823","0.137626719381383","-0.248994416809531","-1.76321234318217","-1.48200195312128","-1.69850320609036","0.18631693677193","-0.581884896656282","-0.592954861717583","-0.00817552610788548","-0.0615385144875098","1.75610745170504","0.0342375990451049","-0.997748932331409","0.259798807035833"
"Serine","1.05401309011103","0.44202339457875","2.41181947497896","2.35872818968346","1.54740568660737","0.44573179592363","0.213602624166887","0.854851529677599","0.266442925599436","-0.8934537479883","-0.722977105626848","0.149711266327814","1.41965795103324","-0.87586949765257","-0.506457744683487","-1.47424504469883","-0.666751194764656","-0.0929297377751818","-0.754654120863738","1.08434391822972","-0.417240043839096","-0.438096653908231","-0.610354257732025","-0.58970553825915","-0.190081089604677","1.21070271191546","-0.682135193519121","-1.56351516679543","-1.41272456418383","-1.3350281890035","0.164562230804683","-0.694351130001866","-0.147510748002285","0.658199699160345","-0.915336000067058","0.733170457022164","0.989849258256598","-0.487079124768755","-0.534320310338531"
"Asparagine","1.03028332269986","0.448161061861652","2.06430714697554","2.44890616977391","1.7503368030895","0.327547016817074","-0.150376322958","0.95549920555091","0.667627924436898","-1.14418202566473","-0.774457817356506","-0.924538596938501","1.20894125419802","0.299346743724675","0.154273884105515","-0.953274130502075","-0.588961151777509","-0.0147330634640796","-0.0852355929205954","1.04347692239851","-0.547381216757183","-0.915160962768829","-1.00153585656686","-0.897620994124468","-0.310149341005294","1.33053749554036","-0.829715729325375","-1.14007672750157","-2.26015876657775","-0.229683683491618","0.324079901874555","-0.0911659662773979","-0.472736360564018","0.883663119567209","-1.0940821325763","-0.0234927959836637","0.369633515558996","-0.905749064798522","0.0478468117276815"
"Aspartic acid","0.21258170516796","1.1995958822588","1.62354650734916","2.45086034285732","0.0156603929764159","0.480111583469174","1.14145176460575","2.064250130238","1.03060843591868","-0.347024161200303","0.547531675389258","-0.108432160251025","0.054388473934802","0.0873903004897755","-0.452257032156001","-0.327707090426167","0.349491298070848","0.46769206203246","-0.525521147179729","-0.294086964768799","-0.0524736973350111","0.0920125111661231","-1.0767982578704","0.307483979565889","-1.38651435368636","1.36884039138058","0.683844898173522","-1.36277731678657","-1.47895202483576","-1.16535382388543","-1.38356679199524","-1.22335056879469","-0.0211370353284674","-0.488670772045501","-0.665624375323871","-0.162869789327292","0.682439047255404","-0.358634793363078","-1.97802922574014"
"Methionine","2.50133677748785","0.787874969221877","1.54174373949777","1.51941064328582","0.987785448597465","0.27001251898123","-1.21790238203552","0.672761776232164","0.585176258224672","-1.9666531932675","-1.28034953501674","-0.896739029779918","0.781262751495455","-0.342586220619504","-0.419254552251496","-0.747788692125665","-1.4604523656095","0.126442304001941","-0.572583792876379","0.64620344734776","0.00981521554344649","-0.573432085994784","-0.0948200573278301","-0.451984280559205","0.78367129446672","1.42714565706429","0.274488921639603","-1.4181725242422","-1.38127262085116","-1.39252814382687","0.916059564113621","0.419228461449616","-0.0476520980777072","0.409513211672688","-0.760568269060186","-0.474500828672323","0.752116690787603","-0.57169079507014","0.658881816153083"
"Isoleucine/Leucine","0.838340585583231","-0.199935698476968","-0.259173074906163","1.19170234240605","-0.251650598437385","-0.756674082885671","-0.31549990940519","1.54906631680228","-0.197843818476065","-0.863818074497949","-1.17086670345126","0.201005464781988","0.727357872376553","-1.42956958924912","-1.43742243743937","-0.979026471925567","-1.30591655499211","-0.101346422827683","-1.49638518419307","-0.0462479629362578","-0.00888639684549253","0.644454285876737","-0.356192096954543","1.21757391248709","1.23717270858612","0.919452571969874","0.524201028267075","-1.5160736919279","-0.654413725851722","-1.92380734425874","0.898144806182071","0.447294119807434","0.130702753131968","0.242445350382418","0.177831012298284","2.40600164693635","1.55168810602618","-0.265509966859045","0.631824922895523"
"Glutaric acid","1.35850276803925","-0.672352459511158","0.47963690781766","0.2708847194854","1.41040551433346","0.3384898745011","0.568259555068187","0.361090163950422","-0.748148068350977","1.24225679207965","0.496864173348172","1.57803904374326","0.372020268664957","-0.100661286384256","-0.258406203519822","-0.787905650032195","-1.40622704198213","-0.450203766409324","-1.80406857198636","-1.39182183987599","-0.191816816826418","0.0838229732041086","0.415774330722434","1.43548708371657","0.0486684973230648","0.707751467097693","-0.0201082730363489","-0.373786471712429","-2.18545483640721","-1.15565348344107","-0.333216243774173","-0.146419305997272","-1.26203983880193","0.177831368537681","-1.64293355147885","2.21903806271487","0.959219888306635","-0.231206990154681","0.638387247028069"
"Valine","1.52765592175806","0.0299489816564181","0.331432288264218","1.13045751974193","-0.18167162397844","0.569161478354767","-0.363231902722803","1.89421147875266","1.38201108365991","-0.64729046374131","-0.573820659286371","0.726791361708278","1.82776848546483","-1.14475140888151","-0.917323287346213","-0.716489461708419","-1.3448472766988","-0.0415206114871011","-1.21671234835555","-0.108821689465598","-0.128200805539475","-0.424016089257755","-0.246575939956589","0.385219801327946","0.976095345338587","1.05860634710465","-0.12552860894603","-1.67710855202782","-1.61284635776296","-2.13484344753043","0.468051952966688","-0.136952503144148","-0.471528897093374","0.069128365377388","-0.698785406112601","0.524752486759725","1.45971425241813","-0.65354961528463","1.2054098056739"
"Proline","1.38488604931555","0.430709039149383","1.14018497863139","1.77218965999497","1.09531336964175","0.239950183876007","-0.173368016561702","1.98237658357767","0.462693839086879","-1.75659467761739","-0.33900543769788","-0.697706015322806","1.40950611017603","-0.201959991269149","-1.37836264804158","-1.11314191645383","-1.06272633844373","-0.490764045776817","-0.652774284599411","0.691413996453058","-0.561189044149047","-1.02433101156541","-0.041052401889646","-0.508524527672754","-0.0983237009799569","1.56773709664325","-0.0743301322871634","-1.57762524615655","-1.40321877628057","-1.29095905457912","0.823014821749984","0.875526891189083","-0.478086749883676","0.481265885337747","-0.78645568941455","0.0299839901625594","1.05043621780673","-0.57405592192615","0.847366915776712"
"Betaine","1.10472554143187","0.848687588758401","-0.764264367994393","0.796930138105477","-0.479305396232521","-1.09865905743113","0.651620303319975","1.42014358141521","-1.36491043151966","0.512746165651069","-1.67215028936949","-0.956528400798758","-1.35738868409299","-1.72280927581615","-0.78322102434639","-0.585745739492662","-0.172367355202141","0.15012567973534","-0.878681335417492","-0.514698368992173","0.163706890951241","0.279553589471589","-0.0715163544635679","0.558273983184366","-0.508190117599001","1.10541241908334","1.12582523638713","2.06529697012601","-0.475297084767136","2.05889887609182","-0.365615481429673","-1.20946596927535","0.126041195776655","-0.0450244109843391","-0.729509387084101","1.53916394717987","0.958706339172825","0.812643186546741","-0.523153100079806"
"Cystine","1.2460712359434","0.775267426848252","0.346167893138199","1.16882198932535","1.26966495519753","-0.925672684075847","0.154429060295849","0.215667873012133","-0.838649829396858","0.376927089545137","-1.00398162255671","-1.03241146428827","0.745675285553743","1.01909154049415","-0.00790377190975267","-0.737901199242065","0.263893371543883","1.90997045031707","0.314265575746619","-0.0763270093285016","-0.810461910313689","0.214175147597558","-0.747519272546256","0.411098279096926","-0.914678892287943","1.94044139996039","2.26167467051799","-1.61166100764653","-0.390782256624895","-1.94384860091874","-0.827559770954817","-0.404682117780155","-0.227388031993094","-1.41455325801627","-0.756891319404162","0.729169987328921","-1.05374272607844","0.383962478188371","-0.0198189642884702"
