"ID","pval","fdr","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
NA,NA,NA,"RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Alanine","8.61787177447954e-05","0.000189969284131017","-0.652379038394408","-1.28821519068625","-0.965102530560669","-1.00927357411425","-0.828852558311626","-1.86571909107103","-2.42878761543349","-1.85625845559378","-1.9775094277565","-2.26079061761116","-2.43581736785159","-2.27086798821491","-1.39454921015205","-2.12002538249201","-1.13036473061501","-2.21962274601345","-1.99945083836405","-1.51173410282127","-2.09913902630422","-1.71621213917592","-2.17735418198601","-2.2157561679949","-2.12135432374306","-1.64563812044799","-2.09773875999344","-1.43478816894562","-1.52329655778501","-2.69657807373913","-2.20346184171732","-2.44039238504849","-1.95411730343769","-2.41482360787326","-1.83326059805223","-2.16139492008286","-2.43074742878694","-1.33455905631518","-1.85186799622893","-2.5240360656132","-2.30933596978497"
"Tyrosine","9.08548750191818e-05","0.000189969284131017","-0.575144153254828","-1.37396915775834","-0.702663532789551","-0.894559525911521","-0.891647125087724","-1.04153574461862","-0.857971229604971","-0.119179452832354","-0.510059943917846","-1.39552082692719","-1.49660557370503","-1.01605869464985","-0.638466591456933","-1.45206080565347","-1.66021346552919","-1.58951969598571","-2.4699233469881","-1.64774636509036","-1.5575805624804","-1.27143755052391","-2.06099555799735","-2.21241349632496","-2.12383607536229","-1.61535426144015","-1.79675161665617","-0.740180831340596","-1.50649252902377","-1.4986800372488","-2.30036551894309","-1.5112240961925","-0.671423232404481","-1.22718811278343","-1.85591566135952","-1.76130686511814","-2.37388424236532","-1.78713963437327","-1.50879243270831","-1.8670002860464","-1.10248479203721"
"Homoserine/Threonine","0.000250824669390012","0.000480747282997523","0.318576852604286","-0.0907798185991521","0.382795343955929","0.222027477082963","0.0445179808227575","0.0820374278228387","-0.265563365122318","0.512920713317605","0.303583776218906","-0.568633985372511","-0.191738813824106","-0.100375944794932","0.615444898079969","-0.57605285469321","-0.489629183783938","-0.65584449074768","-0.962369939297909","-0.508220798739438","-0.838954984110191","-0.265124740282623","-0.490133220604054","-0.644717759758069","-0.676569932895721","-0.827368052922623","-0.26000241358165","0.151035576790992","-0.358681661634656","-1.25602251155459","-1.20934733105118","-1.29300264765211","-0.224123301464161","-0.596096507503637","-0.48919137643888","-0.549454633870933","-0.73291012488205","-0.496234972078225","-0.0653262980229282","-0.593951760070443","-0.0264694342593851"
"Ornithine","0.000274903704500816","0.000486368092578366","-0.187314865758203","-0.824618887715601","-0.354339892134212","-0.206537504058318","-0.650783309785377","-0.943909520464983","-0.596742846479183","-0.1797346127961","-1.3469203238244","-1.65933913209194","-1.00911113344514","-1.05567159918955","-1.30551472268061","-1.33774556304372","-1.72749539414708","-1.75412606941886","-1.2843799862521","-1.22331951810246","-1.37634785546732","-0.865451398814095","-1.40747291889006","-1.50055105832838","-1.23086899577909","-1.49330738050835","-0.988749362840584","-1.15073002541761","-1.64223086897851","-1.86074512499035","-1.81513418881954","-1.88788123892466","-1.10167381497975","-1.41243813312542","-1.72945153650252","-1.05815411378299","-1.69242793871686","-1.26009742616212","-0.525347340922766","-1.48458352493832","-0.926834793257148"
"Serine","0.000502924426886303","0.000826232987027497","0.664602952538775","0.456786458320108","1.13947860563912","1.10829382701783","0.838294209137673","0.459656884668265","0.374711065034985","0.587046193357446","0.394344449972807","-0.00632927931549819","0.0526685576603285","0.350020387092893","0.785958351637724","-0.000257570946198993","0.128446363686993","-0.207865406075726","0.072440872367218","0.268966253849494","0.0419660213119893","0.674398769604556","0.156657920400279","0.148368615432189","0.0909993841680571","0.096862040558167","0.231558187827998","0.711337818166475","0.0656418460877767","-0.236633049537749","-0.184704914501751","-0.159178565945175","0.35460210208031","0.0617183780190178","0.248551098821943","0.522789241881401","-0.0136120170387996","0.539715857284511","0.632619548684292","0.132520117404623","0.116516389349978"
"Asparagine","0.00278937722555742","0.00427704507918805","-1.5634247130715","-1.88237210202196","-1.02536397693515","-0.812223071785667","-1.18956062718153","-1.95303396460036","-2.18296278305121","-1.57874777043335","-1.75912803561764","-2.71494845697762","-2.52577077068797","-2.57035663141944","-1.46078303436774","-1.96015265336239","-2.04758698681307","-2.62634348466816","-2.43802816407712","-2.10969198844006","-2.17474953963505","-1.55497130018633","-2.3776192139463","-2.55010643704968","-2.62699819837928","-2.54005115302908","-2.22647109289103","-1.39115935088096","-2.51046215515803","-2.70024051171189","-3.2870330757412","-2.23722862433857","-1.91593205746744","-2.13453898153752","-2.33492270506377","-1.62368936533203","-2.63541657763932","-2.06339719096682","-1.88189446303803","-2.56030643000793","-2.06487244926632"
"Methionine","0.011215785340371","0.0161226914267833","0.793433808483783","-0.0819407091189893","0.305402784497943","0.290578133154177","0.0207599659354373","-0.349305808195227","-1.10440481253626","-0.138068376879038","-0.185390851668473","-1.49138367139256","-1.14282956276281","-0.933386716492059","-0.0842806380299407","-0.662582933738947","-0.705612444892995","-0.871595787769521","-1.24051630123578","-0.418315892284098","-0.784647555818272","-0.153582905942272","-0.475349708287739","-0.765133567685137","-0.530808739228129","-0.703764716602853","-0.0819719315813622","0.242519420196616","-0.339149871401315","-1.2050706293875","-1.18566892571216","-1.20020772688743","-0.0157933318591103","-0.267192556223433","-0.503697782552476","-0.271742910608737","-0.856840785608602","-0.707117041427164","-0.0981239182163469","-0.768786628629731","-0.146137495143312"
"Aspartic acid","0.0138147390055217","0.0186905292427647","-3.34759751753318","-2.97145254981312","-2.79926250110888","-2.43733428804534","-3.44180855027845","-3.27315829981986","-2.97224284368467","-2.56600554058697","-3.02775793199524","-3.58068339221566","-3.22873484781906","-3.4463502157303","-3.39113201961406","-3.41848760797527","-3.65508899540194","-3.58953751418488","-3.3226989988961","-3.23920352457752","-3.68416435298902","-3.54732881325644","-3.43007391822927","-3.34651666967745","-3.85544711168218","-3.26014794357956","-3.91368808400713","-2.85487115169453","-3.11848010053134","-3.97053828646383","-4.01497718420245","-3.91832320565078","-3.94779565239266","-3.88810778815743","-3.41224004010571","-3.59133136932522","-3.63551463322098","-3.40752180284501","-3.11061742224722","-3.54547822792153","-4.19383365044779"
"Glutaric acid","0.0206980140975486","0.0264474624579788","-3.97324991615303","-5.42607856312055","-4.61521581971912","-4.70749802589754","-3.9545557598583","-4.73241185784208","-4.52022641048376","-4.59909565635069","-5.4578504213643","-4.0642214958247","-4.59642615754403","-3.78714106383276","-4.63434611104076","-5.02173384374818","-5.15913150073953","-5.50966529179912","-5.95603939808097","-5.225387275075","-6.24870067559156","-5.886508560992","-5.02009806628731","-4.79184690991385","-4.62001612105933","-3.86103722770667","-4.79510239997881","-4.38265048236469","-4.87241083469269","-5.17049951286402","-6.42848629529773","-5.75414426870024","-5.10211249448946","-4.97809489780177","-5.75264127753682","-4.74751048935454","-5.96207854903399","-3.28545485951075","-4.18646579644606","-5.03813220911747","-4.44161683634239"
"Valine","0.0249526509622893","0.0302058406385607","2.15882849820424","1.46633197829146","1.60801100590035","1.96234813898585","1.36346624129759","1.72677042697241","1.27106747506781","2.29570781496161","2.09620703201106","1.14189610920197","1.1792123569233","1.76797581752325","2.28611865559795","0.911410744623712","1.02398015451084","1.11453393471246","0.819480523205625","1.42046030984687","0.881873865774745","1.39023392092637","1.37296555045195","1.2257013305735","1.32384512218887","1.59898133238876","1.86444415710819","1.91936766506512","1.36616033511943","0.654859095316776","0.684573141922202","0.443758980175629","1.64543822939217","1.36599665860072","1.21120807066299","1.4597845640274","1.09562398888631","1.64487873838425","2.09427217186439","1.12628825908098","1.99246135309379"
"Isoleucine/Leucine","0.0395395627372567","0.0454704971478453","6.76964811437209","6.49154276500563","6.47065617186956","6.84312647206405","6.46128171549007","6.34012491226609","6.40668957573187","6.88449164045562","6.46676185568231","6.25858390533067","6.17802339270271","6.51594032277745","6.69604348775502","6.10543320536469","6.13469824732419","6.25182316609197","6.16235047561952","6.46695218820278","6.11520829830423","6.48987333975277","6.46285425087833","6.61204540420406","6.38513867188765","6.78410836976389","6.76312845160517","6.72621041163902","6.58771736000888","6.02843749279913","6.29104794138307","5.94326864991427","6.72032111687391","6.58895939359571","6.49551988722553","6.51743470303358","6.45145359869146","7.06638083429811","6.8827178472836","6.37234912862723","6.65474864208093"
"Proline","0.0420371965866039","0.0460407391186614","0.802551302188487","0.321919455014598","0.683002980165478","0.993312643256831","0.65896338967694","0.225541737644699","0.0141498622441042","1.08826682840284","0.336884714894185","-0.788773201166506","-0.0699742730277113","-0.248956541810443","0.81025310153017","-0.000304133867552792","-0.602233720225048","-0.464581665567765","-0.439771663646826","-0.146145554772113","-0.230933308294645","0.451256801170523","-0.18079682211998","-0.410314827077891","0.0809151845880316","-0.153087024358029","0.0511498778126763","0.886038080356452","0.0634542426224806","-0.694777720706354","-0.60642361959115","-0.553844828253681","0.513098686749359","0.539945063054691","-0.138823759756733","0.341805771821884","-0.290884378125528","0.11401574323248","0.623601102149069","-0.186918310389096","0.526557837835886"
"Betaine","0.144818249797221","0.151400897515277","3.25377581273048","3.15703543366421","2.41033780806573","3.09621569988949","2.53744459557374","2.2644407686513","3.04269939545228","3.34764865883978","2.1251705962991","2.98912437326928","1.98781996460251","2.28711730595267","2.11050005880132","1.9669450810021","2.41361699544346","2.49489145453697","2.69148647404892","2.81002182419985","2.36886587878339","2.50751720840508","2.8021008008686","2.83291828768708","2.70706462794174","2.9579647342708","2.46560575842207","3.22127849394244","3.22198820394415","3.68684930205552","2.52119643402396","3.70926356241689","2.55266328412725","2.17112669280557","2.78055599393906","2.69753876283891","2.36941685074127","3.36385494973905","3.13771068439662","3.09243010297436","2.48698450400509"
"Cystine","0.154843162483522","0.154843162483522","0.483022149439317","0.119161403072439","-0.21531516022666","0.420990282149718","0.503526748978642","-1.21119354402741","-0.362127402540913","-0.310320553579398","-1.13470676331089","-0.190612259455498","-1.2657507514499","-1.27066427511655","0.094897325877794","0.309091976220276","-0.49373453219275","-1.06108536982928","-0.280226959161529","0.995353337715404","-0.241341771291986","-0.540681336265759","-1.10215930612633","-0.311602353429252","-1.0585393160558","-0.161240297306476","-1.1681045156812","1.01053395612141","1.25349280389176","-1.72654713418241","-0.782632150341624","-1.99691310959639","-1.11183210980625","-0.788369811481954","-0.652644123167821","-1.56140512834331","-1.04977005229464","0.080528694528167","-1.2782751893974","-0.183090906136122","-0.493651408602843"
