ID,pval,fdr,linear_fc,log2_fc,direction
p-Stat6(Y641),0.00671169084571196,0.465343898636029,1.34761710702381,0.430410647657915,up
FAS,0.00409474601833317,0.465343898636029,2.12798227854096,1.08948613638068,up
p-FAK (Tyr397),0.00468785300845721,0.465343898636029,1.71020571940053,0.774169876285381,up
RANKL,0.00997913660001179,0.51617463113099,0.469038143720561,-1.09222284268225,down
c-Jun(60A8),0.0124080440175719,0.51617463113099,1.23509940635926,0.304627161073206,up
p-Ret(Y905),0.0199264378208933,0.518087383343225,0.0371170785034403,-4.7517730298068,down
Ki67,0.0190274453883199,0.518087383343225,1.39703137124056,0.482364417758843,up
RRM2 (EPR11820),0.0149595384165361,0.518087383343225,1.24219016518357,0.312886050664879,up
14-3-3zeta,gamma,eta,0.0407767946711173,0.536998271521725,0.696209528211676,-0.522406536198263,down
Caveolin-1(D46G3)XP,0.041307559347825,0.536998271521725,1.2573616627666,0.330399680810768,up
p-p27/KIP1(T198),0.0267625813507031,0.536998271521725,0.68262912442049,-0.550826126450213,down
p-p44/42MAPK(Erk1/2)(T202/Y204)(197G2),0.0277990440229832,0.536998271521725,1.47578199869786,0.561479623413284,up
Sox2(D6D9) XP,0.0390799879123381,0.536998271521725,1.27281284856387,0.348020304315394,up
p-FAK(Y576/577),0.0350930457824826,0.536998271521725,1.38953986578573,0.474607225935616,up
PKM1/2,0.0351548330868981,0.536998271521725,1.83100154345869,0.872633007268107,up
p-ULK1 (Ser757) (D7O6U),0.0403918758129154,0.536998271521725,0.751543633329874,-0.412071227923075,down
MEK6 [EP557Y],0.0487198428793002,0.596101606993791,1.37252425079758,0.456831640083895,up
p-Stat5(Y694),0.057664783054097,0.666348604180677,1.88189608025974,0.912186963542897,NS
p-p27(T187),0.0610069736477546,0.667865816775419,0.900430124468074,-0.151313770998788,NS
MEK1,0.072700542676035,0.720081565553109,33.7898910230861,5.07851979251229,NS
p-PRAS40 (Thr246) (C77D7),0.0708129491569516,0.720081565553109,1.62797130890363,0.703075274010062,NS
ALK(D5F3)XP,0.171972727567914,0.753506643998936,1.08391071706738,0.116245925189003,NS
p-ALK(Y1604),0.109013034227532,0.753506643998936,1.47628191431376,0.561968248191111,NS
p-ATR(S428),0.106322184292604,0.753506643998936,1.30839108542971,0.387793834932166,NS
p-Bad(S136),0.188342618997139,0.753506643998936,1.2263307739548,0.294348164657494,NS
p-Bcl2(T56),0.178397627007825,0.753506643998936,1.30807614355004,0.387446523041437,NS
Bcl-xL,0.221369445721177,0.753506643998936,1.16805222562411,0.224104781036825,NS
p-Caveolin-1(EPR2288Y)(Y14),0.1970227446083,0.753506643998936,1.11070939551871,0.151481401348326,NS
p-c-Myc(T58),0.116875973359507,0.753506643998936,1.31858583061201,0.398991483502872,NS
Ezh2(D2C9)XP,0.18469037952679,0.753506643998936,0.0560111405932121,-4.15814238260325,NS
FSP1/S100A4,0.142508032096821,0.753506643998936,2.11933736236488,1.08361325843717,NS
p-MEK1/2(S217/221),0.171065667039245,0.753506643998936,1.27544958159254,0.351005870462087,NS
