"ID","pval","fdr"
"Glycine",0.000163221501745207,0.0011124001207642
"Histidine",0.000193460890567687,0.0011124001207642
"Lysine",0.000113892765418745,0.0011124001207642
"Tryptophan",8.52861160507935e-05,0.0011124001207642
"Methionine",0.000628491372745426,0.00289106031462896
"Arginine",0.000995527144397344,0.00336155546065101
"Valine",0.00102308209671987,0.00336155546065101
"Glutamine",0.00204587651865803,0.00535068239886947
"Tyrosine",0.00209374528651414,0.00535068239886947
"Homoserine/Threonine",0.00366823854192918,0.00843694864643712
"Phenyl alanine",0.0069567994036807,0.0145460351167869
"Alanine",0.0106412553991513,0.0188268364754215
"Glutaric acid",0.0103962446691124,0.0188268364754215
"Citrulline",0.0236503378959126,0.038854126543285
"Asparagine",0.03173786462106,0.0456231803927738
"Isoleucine/Leucine",0.0305226983387108,0.0456231803927738
"Cystine",0.201229435808753,0.272251589623607
"Betaine",0.336906685339065,0.430491875711027
"Aspartic acid",0.433848258836198,0.498925497661628
"Glutamic acid",0.413882153611684,0.498925497661628
"Proline",0.483618747517955,0.529677675852998
"Ornithine",0.565304106666283,0.590999747878387
"Serine",0.944590345552732,0.944590345552732
