ID,pval,fdr,linear_fc,log2_fc,direction
Asparagine,0.0888972843888833,0.805107320917868,1.22934699962692,0.297892193157043,NS
Glycine,0.0780784944663217,0.805107320917868,0.773799070973805,-0.369969098210509,NS
Proline,0.140018664507455,0.805107320917868,1.20060618806188,0.263763008912176,NS
Serine,0.135660572622528,0.805107320917868,1.1222629968429,0.166410804092369,NS
Arginine,0.191607233459872,0.833157375532332,0.886695011450466,-0.173490135943478,NS
Glutamic acid,0.33862050149491,0.833157375532332,0.864393652086027,-0.210239617481284,NS
Homoserine/Threonine,0.286980745278218,0.833157375532332,1.11560336438009,0.157824190292017,NS
Lysine,0.36224233718797,0.833157375532332,0.899900785369371,-0.152162142718099,NS
Phenyl alanine,0.293307018976523,0.833157375532332,0.909001778983983,-0.137644977003888,NS
Tyrosine,0.276540033017715,0.833157375532332,1.15744064633141,0.210938213840731,NS
Betaine,0.572708065707377,0.940877536519263,1.06717484476262,0.0937965651097077,NS
Glutamine,0.507373986177984,0.940877536519263,0.930397521961601,-0.104080840572437,NS
Histidine,0.552786024862287,0.940877536519263,0.933748201279282,-0.0988945361104769,NS
Tryptophan,0.512367062774952,0.940877536519263,1.0517813289688,0.0728347916981154,NS
Alanine,0.950486035076762,0.980892739583856,0.99169474784405,-0.0120319798618218,NS
Aspartic acid,0.980892739583856,0.980892739583856,1.00314251472532,0.00452658170462383,NS
Citrulline,0.92907811107235,0.980892739583856,0.992108890619151,-0.0114296201071022,NS
Cystine,0.934417743048414,0.980892739583856,1.01838645890655,0.026285141517816,NS
Glutaric acid,0.707171575952373,0.980892739583856,0.89763812466879,-0.155794143202524,NS
Isoleucine/Leucine,0.796323677058763,0.980892739583856,1.02307865300779,0.0329170619379573,NS
Methionine,0.850522414701922,0.980892739583856,1.02277215954219,0.0324847952218485,NS
Ornithine,0.668790502468136,0.980892739583856,1.06041815512785,0.0846332755146182,NS
Valine,0.837091913453768,0.980892739583856,1.02854197032305,0.0406006651720474,NS
